FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,LBC_RATE
8025,-673296.295,1727047.965,1998,26,29.7,8.99,0.51,0,50
8027,-812237.1275,1715109.678,1998,23.7,13.9,4.01,0.2,0.001,51
8029,-1017169.673,1822973.639,1998,26.1,16,3.01,0.32,0.001,52
8031,-752535.2617,1895398.468,1998,24.8,15.6,7.16,4.33,0,49
8033,-1089277.071,1706941.395,1998,25.5,14,3,0.28,0.016,47
8035,-761560.7898,1847660.142,1998,16,1.8,5,1.08,0,49
8037,-907828.0851,1896431.678,1998,19.6,5.2,3.27,0.15,0,30
8039,-694376.7348,1836771.668,1998,22.2,5.6,7.44,0.7,0,49
8041,-732217.7613,1789019.449,1998,23.6,9.7,7.71,0.7,0,49
8043,-814487.0698,1756371.693,1998,29,16.2,4.15,0.35,0.001,50
8045,-1010370.634,1905589.98,1998,25.5,8.2,3.49,0.34,0,48
8047,-806038.831,1911394.232,1998,21.1,6.4,4.07,1.12,0,49
8049,-853397.0214,1943920.336,1998,20.3,7.4,3.96,0.36,0,43
8051,-948768.7971,1792665.374,1998,18.3,12.1,2.99,0.19,0.001,40
8053,-982989.8362,1701269.516,1998,20.6,11.2,3,0.2,0.01,39
8055,-781576.3055,1664376.748,1998,24.8,22.1,5.34,0.26,0.001,51
8057,-865364.1963,2008714.743,1998,24.4,14.4,4.01,0.22,0.001,43
8059,-786087.6609,1878865.86,1998,21.6,5.5,5.32,2.61,0,48
8061,-582223.6306,1732072.027,1998,23.7,14.4,8.25,0.39,0.001,56
8063,-563665.1171,1828718.275,1998,25,12.9,7.51,0.68,0.001,48
8065,-883398.2697,1845706.888,1998,25,9.7,3.01,0.32,0,31
8067,-1037450.822,1647580.975,1998,20.6,11.6,3.34,0.45,0.06,42
8069,-791888.8373,2001069.799,1998,20.6,8.3,4.55,0.93,0.001,48
8071,-704874.223,1616067.79,1998,23.4,22.9,6.69,0.31,0,51
8073,-644193.1867,1798872.808,1998,25.8,17.4,8.93,0.39,0,50
8075,-595046.0267,1990421.107,1998,25.4,14.7,7.73,0.56,0.001,50
8077,-1066385.895,1847034.414,1998,25.6,13,3.12,0.32,0.001,55
